Peso;Ano;Combustível;Km Rodados;KM/L;Limite Mensal;;;
1131;2023;GASOLINA;6.189;12,43;1.600,00;;;
1028;2023;GASOLINA;6.131;13,75;2.400,00;;;
1028;2023;GASOLINA;4.863;13,67;1.600,00;;;
1058;2023;GASOLINA;3.445;10,91;1.600,00;;;
976;2023;GASOLINA;3.958;11,96;2.400,00;;;
1131;2024;GASOLINA;3.898;11,73;1.600,00;;;
1131;2021;GASOLINA;3.614;12,64;1.200,00;;;
961;2024;GASOLINA;3.349;13,9;1.200,00;;;
961;2023;GASOLINA;3.345;22,04;1.000,00;;;
1131;2021;GASOLINA;3.160;11,34;1.600,00;;;
1028;2024;GASOLINA;3.022;9,63;1.600,00;;;
1251;2023;GASOLINA;2.787;10,17;1.600,00;;;
961;2024;GASOLINA;2.947;12,25;1.200,00;;;
1251;2022;GASOLINA;2.838;11,17;1.200,00;;;
1028;2023;GASOLINA;2.655;11,13;1.200,00;;;
1028;2023;GASOLINA;2.524;9,51;1.600,00;;;
976;2023;GASOLINA;2464;12,73;1.600,00;;;
976;2023;GASOLINA;2.411;13,77;1.600,00;;;
1131;2024;GASOLINA;2.331;9,09;1.200,00;;;
1058;2024;GASOLINA;2.072;10,28;1.600,00;;;
976;2023;GASOLINA;1.813;13,63;1.600,00;;;
1131;2021;GASOLINA;1.741;9,18;1.200,00;;;
1058;2023;GASOLINA;1.585;18,48;1.200,00;;;
1058;2023;GASOLINA;1.169;14,33;1.000,00;;;
961;2024;GASOLINA;305;7,89;1.000,00;;;
1600;2019;DIESEL;488;9,53;700;;;
29000;2020;DIESEL;6.805;2,54;9.100,00;;;
29000;2021;DIESEL;3.609;2,69;6.000,00;;;
23000;2014;DIESEL;1.460;2,08;6.000,00;;;
18000;2000;DIESEL;776;1,28;4.000,00;;;
13000;2006;DIESEL;530;1,25;2.000,00;;;
1600;2019;DIESEL;408;9,07;1.000,00;;;
13000;2011;DIESEL;125;0,48;2.500,00;;;
8000;2010;DIESEL;4.674;6,37;4.600,00;;;
8000;2009;DIESEL;4.639;6,29;4.600,00;;;
8000;2009;DIESEL;4.494;6,07;4.600,00;;;
8000;2009;DIESEL;4.052;6,16;4.600,00;;;
8000;2011;DIESEL;3455;6,6;3.000,00;;;
8000;2008;DIESEL;3.332;4,61;3.000,00;;;
8000;2009;DIESEL;3.132;4,53;4.000,00;;;
8000;2013;DIESEL;2.459;5,17;3.000,00;;;
13000;2007;DIESEL;6.256;3,56;9.100,00;;;
23000;2024;DIESEL;4.857;2,85;9.000,00;;;
23000;2025;DIESEL;3.662;2,93;9.000,00;;;
1634;2003;DIESEL;2.446;4,41;2.000,00;;;
1634;2003;DIESEL;1.180;4,81;2.000,00;;;
10800;2019;DIESEL;5.388;4,35;4.000,00;;;
22000;2014;DIESEL;5.388;4,35;4.000,00;;;
10800;2024;DIESEL;5.388;4,35;4.000,00;;;
10800;2023;DIESEL;5.388;4,35;4.000,00;;;
22000;2019;DIESEL;5.388;4,35;4.000,00;;;
15000;2011;DIESEL;5.388;4,35;4.000,00;;;
16000;2012;DIESEL;5.388;4,35;5.000,00;;;
1600;2019;DIESEL;5.388;7,35;1.000,00;;;
10800;2018;DIESEL;5.388;4,35;3.000,00;;;
22000;2019;DIESEL;5.388;4,35;4.000,00;;;
10800;2023;DIESEL;5.388;4,35;4.000,00;;;
15000;2011;DIESEL;5.388;4,35;4.000,00;;;
10800;2021;DIESEL;5.388;3,73;4.000,00;;;
10800;2022;DIESEL;4.448;4,35;4.000,00;;;
10800;2021;DIESEL;2.313;4,63;5.000,00;;;
10800;2022;DIESEL;2.233;3,65;4.000,00;;;
22000;2009;DIESEL;1.387;1,87;9.100,00;;;
22000;2007;DIESEL;1255;2,16;5.500,00;;;
1028;2023;GASOLINA;5.048;12,53;2.400,00;;;
1251;2023;GASOLINA;4.044;10,67;1.600,00;;;
1131;2023;GASOLINA;3.977;11,98;1.600,00;;;
976;2023;GASOLINA;3.504;12,2;2.400,00;;;
1028;2023;GASOLINA;3.566;10,945;1.600,00;;;
1028;2024;GASOLINA;3.530;10,71;1.600,00;;;
961;2024;GASOLINA;3.001;13,1;1.200,00;;;
1131;2024;GASOLINA;3.430;10,99;1.600,00;;;
1028;2023;GASOLINA;3.216;9,38;1.600,00;;;
961;2024;GASOLINA;3.137;12,12;1.200,00;;;
976;2023;GASOLINA;2.986;13,8;1.600,00;;;
1058;2023;GASOLINA;1953;10,79;1.600,00;;;
1131;2024;GASOLINA;2.675;10,23;1.200,00;;;
976;2023;GASOLINA;2.652;13,53;1.600,00;;;
1131;2021;GASOLINA;2.520;9,83;1.200,00;;;
1251;2022;GASOLINA;2.028;10,63;1.200,00;;;
1131;2021;GASOLINA;1.959;10,32;1.600,00;;;
