Peso,Ano,Combustível,Km Rodados,Consumo
1131,2023,1,6.189,"12,43"
1028,2023,1,6.131,"13,75"
1028,2023,1,4.863,"13,67"
1058,2023,1,3.445,"10,91"
976,2023,1,3.958,"11,96"
1131,2024,1,3.898,"11,73"
1131,2021,1,3.614,"12,64"
961,2024,1,3.349,"13,9"
961,2023,1,3.345,"22,04"
1131,2021,1,3.160,"11,34"
1028,2024,1,3.022,"9,63"
1251,2023,1,2.787,"10,17"
961,2024,1,2.947,"12,25"
1251,2022,1,2.838,"11,17"
1028,2023,1,2.655,"11,13"
1028,2023,1,2.524,"9,51"
976,2023,1,2464,"12,73"
976,2023,1,2.411,"13,77"
1131,2024,1,2.331,"9,09"
1058,2024,1,2.072,"10,28"
976,2023,1,1.813,"13,63"
1131,2021,1,1.741,"9,18"
1058,2023,1,1.585,"18,48"
1058,2023,1,1.169,"14,33"
961,2024,1,305,"7,89"
1600,2019,2,488,"9,53"
29000,2020,2,6.805,"2,54"
29000,2021,2,3.609,"2,69"
23000,2014,2,1.460,"2,08"
18000,2000,2,776,"1,28"
13000,2006,2,530,"1,25"
1600,2019,2,408,"9,07"
13000,2011,2,125,"0,48"
8000,2010,2,4.674,"6,37"
8000,2009,2,4.639,"6,29"
8000,2009,2,4.494,"6,07"
8000,2009,2,4.052,"6,16"
8000,2011,2,3455,"6,6"
8000,2008,2,3.332,"4,61"
8000,2009,2,3.132,"4,53"
8000,2013,2,2.459,"5,17"
13000,2007,2,6.256,"3,56"
23000,2024,2,4.857,"2,85"
23000,2025,2,3.662,"2,93"
1634,2003,2,2.446,"4,41"
1634,2003,2,1.180,"4,81"
10800,2019,2,5.388,"4,35"
22000,2014,2,5.388,"4,35"
10800,2024,2,5.388,"4,35"
10800,2023,2,5.388,"4,35"
22000,2019,2,5.388,"4,35"
15000,2011,2,5.388,"4,35"
16000,2012,2,5.388,"4,35"
1600,2019,2,5.388,"7,35"
10800,2018,2,5.388,"4,35"
22000,2019,2,5.388,"4,35"
10800,2023,2,5.388,"4,35"
15000,2011,2,5.388,"4,35"
10800,2021,2,5.388,"3,73"
10800,2022,2,4.448,"4,35"
10800,2021,2,2.313,"4,63"
10800,2022,2,2.233,"3,65"
22000,2009,2,1.387,"1,87"
22000,2007,2,1255,"2,16"
1028,2023,1,5.048,"12,53"
1251,2023,1,4.044,"10,67"
1131,2023,1,3.977,"11,98"
976,2023,1,3.504,"12,2"
1028,2023,1,3.566,"10,945"
1028,2024,1,3.530,"10,71"
961,2024,1,3.001,"13,1"
1131,2024,1,3.430,"10,99"
