Peso,Ano,CombustÍvel,Km Rodados,Consumo
1131,2023,1,6189,12.43
1028,2023,1,6131,13.75
1028,2023,1,4863,13.67
1058,2023,1,3445,10.91
976,2023,1,3958,11.96
1131,2024,1,3898,11.73
1131,2021,1,3614,12.64
961,2024,1,3349,13.9
961,2023,1,3345,22.04
1131,2021,1,316,11.34
1028,2024,1,3022,9.63
1251,2023,1,2787,10.17
961,2024,1,2947,12.25
1251,2022,1,2838,11.17
1028,2023,1,2655,11.13
1028,2023,1,2524,9.51
976,2023,1,24640,12.73
976,2023,1,2411,13.77
1131,2024,1,2331,09.09
1058,2024,1,2072,10.28
976,2023,1,1813,13.63
1131,2021,1,1741,9.18
1058,2023,1,1585,18.48
1058,2023,1,1169,14.33
961,2024,1,3050,7.89
1600,2019,2,4880,9.53
29000,2020,2,6805,2.54
29000,2021,2,3609,2.69
23000,2014,2,1460,02.08
18000,2000,2,7760,1.28
13000,2006,2,5300,1.25
1600,2019,2,4080,09.07
13000,2011,2,1250,0.48
8000,2010,2,4674,6.37
8000,2009,2,4639,6.29
8000,2009,2,4494,06.07
8000,2009,2,4052,6.16
8000,2011,2,3455,6.6
8000,2008,2,3332,4.61
8000,2009,2,3132,4.53
8000,2013,2,2459,5.17
13000,2007,2,6256,3.56
23000,2024,2,4857,2.85
23000,2025,2,3662,2.93
1634,2003,2,2446,4.41
1634,2003,2,1180,4.81
10800,2019,2,5388,4.35
22000,2014,2,5388,4.35
10800,2024,2,5388,4.35
10800,2023,2,5388,4.35
22000,2019,2,5388,4.35
15000,2011,2,5388,4.35
16000,2012,2,5388,4.35
1600,2019,2,5388,7.35
10800,2018,2,5388,4.35
22000,2019,2,5388,4.35
10800,2023,2,5388,4.35
15000,2011,2,5388,4.35
10800,2021,2,5388,3.73
10800,2022,2,4448,4.35
10800,2021,2,2313,4.63
10800,2022,2,2233,3.65
22000,2009,2,1387,1.87
22000,2007,2,1255,2.16
1028,2023,1,5048,12.53
1251,2023,1,4044,10.67
1131,2023,1,3977,11.98
976,2023,1,3504,12.2
1028,2023,1,3566,10.945
1028,2024,1,3530,10.71
961,2024,1,3001,13.1
1131,2024,1,3430,10.99
1028,2023,1,3216,9.38
961,2024,1,3137,12.12
976,2023,1,2986,13.8
1058,2023,1,1953,10.79
1131,2024,1,2675,10.23
976,2023,1,2652,13.53
1131,2021,1,2520,9.83
1251,2022,1,2028,10.63
1131,2021,1,1959,10.32
1028,2023,1,1852,9.93
1058,2023,1,1754,11.82
1131,2021,1,1526,9.41
976,2023,1,1178,12.4
